Documentary,Western,(no genres listed),Crime,Animation,Children,IMAX,Comedy,Thriller,Mystery,Film-Noir,Drama,Action,Fantasy,Musical,War,Horror,Sci-Fi,Romance,Adventure
,,,,,,,Jimmy Carr: Making People Laugh (2010),Unforgettable (1996),,,Sonatine (Sonachine) (1993),"Baader Meinhof Komplex, Der (2008)",,,,,,,
,,,,,,,Mom and Dad Save the World (1992),Trick 'r Treat (2007),,,Jack Ryan: Shadow Recruit (2014),Journey to the Center of the Earth (2008),,,,,,,
,,,,,,,Lethal Weapon 4 (1998),Felony (2013),,,"Contempt (Mépris, Le) (1963)",True Lies (1994),,,,,,,
,,,,,,,"Cup, The (Phörpa) (1999)","Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse) (1933)",,,"Next Best Thing, The (2000)",Thursday (1998),,,,,,,
,,,,,,,Basket Case (1982),"Watcher, The (2000)",,,Gleaming the Cube (1989),Dragon Ball Z: The Return of Cooler (Doragon bôru Z 6: Gekitotsu! Hyakuoku pawâ no senshi) (1992),,,,,,,
,,,,,,,Dinner for Schmucks (2010),Doomsday (2008),,,"Postman Always Rings Twice, The (1946)",Terminator Genisys (2015),,,,,,,
,,,,,,,Mona Lisa (1986),Passion (2012),,,Sugar Hill (1994),Heartbreak Ridge (1986),,,,,,,
,,,,,,,Herbie Goes Bananas (1980),The Hunger Games (2012),,,"Kids Are All Right, The (2010)",Tokyo Tribe (2014),,,,,,,
,,,,,,,Super Size Me (2004),Wicked Blood (2014),,,Good Will Hunting (1997),Paid in Full (2002),,,,,,,
,,,,,,,Mr. Nice Guy (Yat goh ho yan) (1997),Halloween II (2009),,,High Rise (2015),,,,,,,,
,,,,,,,"Triplets of Belleville, The (Les triplettes de Belleville) (2003)",Sabotage (1936),,,The Fool (2014),,,,,,,,
,,,,,,,"Gay Divorcee, The (1934)",First Blood (Rambo: First Blood) (1982),,,The Shining (1997),,,,,,,,
,,,,,,,My Favorite Year (1982),Mission: Impossible II (2000),,,Breakfast on Pluto (2005),,,,,,,,
,,,,,,,National Lampoon's Van Wilder (2002),Hush (1998),,,Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo) (2004),,,,,,,,
,,,,,,,Delhi Belly (2011),Bad Karma (2012),,,48 Hrs. (1982),,,,,,,,
,,,,,,,"Chump at Oxford, A (1940)","Man Who Knew Too Much, The (1956)",,,How to Deal (2003),,,,,,,,
,,,,,,,"Wolf of Wall Street, The (2013)",Coffy (1973),,,Departures (Okuribito) (2008),,,,,,,,
,,,,,,,BASEketball (1998),Sin City (2005),,,Indecent Proposal (1993),,,,,,,,
,,,,,,,Lethal Weapon (1987),"Craft, The (1996)",,,Crimes and Misdemeanors (1989),,,,,,,,
,,,,,,,Tin Men (1987),My Bloody Valentine (1981),,,"Philadelphia Experiment, The (1984)",,,,,,,,
,,,,,,,"Blues Brothers, The (1980)","General Died at Dawn, The (1936)",,,Sweetie (1989),,,,,,,,
,,,,,,,Christina P: Mother Inferior (2017),"Human Stain, The (2003)",,,Rashomon (Rashômon) (1950),,,,,,,,
,,,,,,,The DUFF (2015),"Constant Gardener, The (2005)",,,Black Narcissus (1947),,,,,,,,
,,,,,,,Bob & Carol & Ted & Alice (1969),"Chronicles of Riddick, The (2004)",,,School Daze (1988),,,,,,,,
,,,,,,,Eulogy (2004),The Shallows (2016),,,Imperium (2016),,,,,,,,
,,,,,,,"Concert, Le (2009)",Gossip (2000),,,Brothers (Brødre) (2004),,,,,,,,
,,,,,,,"Borrowers, The (1997)",Peeping Tom (1960),,,"Conversation, The (1974)",,,,,,,,
,,,,,,,Life Partners (2014),"Happening, The (2008)",,,"King of Comedy, The (1983)",,,,,,,,
,,,,,,,Ready to Rumble (2000),Anaconda (1997),,,Zero de conduite (Zero for Conduct) (Zéro de conduite: Jeunes diables au collège) (1933),,,,,,,,
,,,,,,,Friday (1995),Julia (2014),,,It's All Gone Pete Tong (2004),,,,,,,,
,,,,,,,Home Alone (1990),Touch of Evil (1958),,,Kill Bill: Vol. 2 (2004),,,,,,,,
,,,,,,,And Starring Pancho Villa as Himself (2003),All the President's Men (1976),,,Sexy Beast (2000),,,,,,,,
,,,,,,,"Green Hornet, The (2011)",Wild at Heart (1990),,,Desperate Measures (1998),,,,,,,,
,,,,,,,About Schmidt (2002),"Better Tomorrow, A (Ying hung boon sik) (1986)",,,Leaves of Grass (2009),,,,,,,,
,,,,,,,Now You See Me 2 (2016),"Island, The (2005)",,,"Judge, The (2014)",,,,,,,,
,,,,,,,"Son of the Bride (Hijo de la novia, El) (2001)",Original Sin (2001),,,Evangelion: 3.0 You Can (Not) Redo (2012),,,,,,,,
,,,,,,,RV (2006),Something Wicked This Way Comes (1983),,,Old Yeller (1957),,,,,,,,
,,,,,,,After Hours (1985),"American Werewolf in Paris, An (1997)",,,"Four Days in September (O Que É Isso, Companheiro?) (1997)",,,,,,,,
,,,,,,,Pursuit of Happiness (2001),"Bad Seed, The (1956)",,,Michael Clayton (2007),,,,,,,,
,,,,,,,Open Season (2006),Infernal Affairs 2 (Mou gaan dou II) (2003),,,Water (2005),,,,,,,,
,,,,,,,Marius and Jeanette (Marius et Jeannette) (1997),"Living Daylights, The (1987)",,,The Great Raid (2005),,,,,,,,
,,,,,,,Catch That Kid (2004),Drive Angry (2011),,,"Best Exotic Marigold Hotel, The (2011)",,,,,,,,
,,,,,,,Enough Said (2013),Fay Grim (2006),,,"Man Who Would Be King, The (1975)",,,,,,,,
,,,,,,,Teaching Mrs. Tingle (1999),"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",,,"Notebook, The (2004)",,,,,,,,
,,,,,,,Forget Paris (1995),Cop (1988),,,"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",,,,,,,,
,,,,,,,Two Can Play That Game (2001),Teenage Mutant Ninja Turtles: Turtles Forever (2009),,,"Bad and the Beautiful, The (1952)",,,,,,,,
,,,,,,,Born to Be Wild (1995),Shotgun Stories (2007),,,Trumbo (2015),,,,,,,,
,,,,,,,Meet the Fockers (2004),No Mercy (1986),,,"Little Princess, The (1939)",,,,,,,,
,,,,,,,"Family Stone, The (2005)",Munich (2005),,,Pump Up the Volume (1990),,,,,,,,
,,,,,,,Stakeout (1987),"Cable Guy, The (1996)",,,Manchester by the Sea (2016),,,,,,,,
,,,,,,,Mannequin (1987),Mission: Impossible - Fallout (2018),,,Footloose (1984),,,,,,,,
,,,,,,,State and Main (2000),Piranha (Piranha 3D) (2010),,,"Informant!, The (2009)",,,,,,,,
,,,,,,,Only Old Men Are Going to Battle (V boy idut odni stariki) (1973),"Bourne Identity, The (2002)",,,"Dreamers, The (2003)",,,,,,,,
,,,,,,,Mr. Peabody & Sherman (2014),"Bourne Supremacy, The (2004)",,,My Own Private Idaho (1991),,,,,,,,
,,,,,,,Real Life (1979),Mimic (1997),,,Cold Fish (Tsumetai nettaigyo) (2010),,,,,,,,
,,,,,,,The Meddler (2016),Another 48 Hrs. (1990),,,Angst  (1983),,,,,,,,
,,,,,,,Air Bud (1997),Black Swan (2010),,,Under the Sand (2000),,,,,,,,
,,,,,,,Dragnet (1987),"Baader Meinhof Komplex, Der (2008)",,,I Am Wrath (2016),,,,,,,,
,,,,,,,Terri (2011),Kiss Kiss Bang Bang (2005),,,Lola Montès (1955),,,,,,,,
,,,,,,,"Change-Up, The (2011)",I Spit on Your Grave (2010),,,Roman Holiday (1953),,,,,,,,
,,,,,,,You Again (2010),True Lies (1994),,,Point Blank (1967),,,,,,,,
,,,,,,,Hatari! (1962),Thursday (1998),,,Dirty Dancing (1987),,,,,,,,
,,,,,,,Dummy (2002),"Breed, The (2006)",,,Saturday Night Fever (1977),,,,,,,,
,,,,,,,Heathers (1989),Terminator Genisys (2015),,,Emerald Green (2016),,,,,,,,
,,,,,,,Jetsons: The Movie (1990),"Dancer Upstairs, The (2002)",,,"Beach, The (2000)",,,,,,,,
,,,,,,,Half a Loaf of Kung Fu (Dian zhi gong fu gan chian chan) (1980),,,,Miami Blues (1990),,,,,,,,
,,,,,,,South Park: Imaginationland (2008),,,,"Divo, Il (2008)",,,,,,,,
,,,,,,,Mallrats (1995),,,,Mozart and the Whale (2005),,,,,,,,
,,,,,,,Pineapple Express (2008),,,,Alfie (2004),,,,,,,,
,,,,,,,I Am a Sex Addict (2005),,,,"Dark Knight, The (2008)",,,,,,,,
,,,,,,,Soul Man (1986),,,,"Summer Place, A (1959)",,,,,,,,
,,,,,,,Nobody's Fool (1994),,,,"Unvanquished, The (Aparajito) (1957)",,,,,,,,
,,,,,,,Moonwalkers (2015),,,,Casablanca (1942),,,,,,,,
,,,,,,,Boat Trip (2003),,,,Salaam Bombay! (1988),,,,,,,,
,,,,,,,Cheaper by the Dozen (2003),,,,There Will Come a Day (2013),,,,,,,,
,,,,,,,"Lords of Flatbush, The (1974)",,,,Bruce Almighty (2003),,,,,,,,
,,,,,,,Bobik Visiting Barbos (1977),,,,Frida (2002),,,,,,,,
,,,,,,,Home Fries (1998),,,,Aelita: The Queen of Mars (Aelita) (1924),,,,,,,,
,,,,,,,"Devil and Max Devlin, The (1981)",,,,"Man on the Train (Homme du train, L') (2002)",,,,,,,,
,,,,,,,Me Without You (2001),,,,Money Train (1995),,,,,,,,
,,,,,,,Gentlemen of Fortune (Dzhentlmeny udachi) (1972),,,,Up in the Air (2009),,,,,,,,
,,,,,,,Joe Dirt 2: Beautiful Loser (2015),,,,Volcano (1997),,,,,,,,
,,,,,,,The Love Bug (1997),,,,Glen or Glenda (1953),,,,,,,,
,,,,,,,Mr. Destiny (1990),,,,Beyond the Clouds (Al di là delle nuvole) (1996),,,,,,,,
,,,,,,,Mixed Nuts (1994),,,,Garden State (2004),,,,,,,,
,,,,,,,My Man Godfrey (1957),,,,Fuzz (1972),,,,,,,,
,,,,,,,Armed and Dangerous (1986),,,,"Sea Inside, The (Mar adentro) (2004)",,,,,,,,
,,,,,,,Saving Grace (2000),,,,Pride and Prejudice (1995),,,,,,,,
,,,,,,,Night at the Museum: Secret of the Tomb (2014),,,,Foxfire (1996),,,,,,,,
,,,,,,,Married to the Mob (1988),,,,Ariel (1988),,,,,,,,
,,,,,,,Joe Versus the Volcano (1990),,,,Dancer in the Dark (2000),,,,,,,,
,,,,,,,Caddyshack (1980),,,,Brubaker (1980),,,,,,,,
,,,,,,,Flashback (1990),,,,Big Night (1996),,,,,,,,
,,,,,,,"Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman, A (2012)",,,,3-Iron (Bin-jip) (2004),,,,,,,,
,,,,,,,"Trip, The (2010)",,,,Battles Without Honor & Humanity (Jingi naki tatakai) (1973),,,,,,,,
,,,,,,,Codependent Lesbian Space Alien Seeks Same (2011),,,,Rare Birds (2001),,,,,,,,
,,,,,,,A Dog's Purpose (2017),,,,"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",,,,,,,,
,,,,,,,Nina Takes a Lover (1994),,,,Quills (2000),,,,,,,,
,,,,,,,The Escort (2015),,,,Juice (1992),,,,,,,,
,,,,,,,He Never Died (2015),,,,All the King's Men (1949),,,,,,,,
,,,,,,,"Joneses, The (2009)",,,,"Rapture, The (1991)",,,,,,,,
,,,,,,,Shadow of the Thin Man (1941),,,,Nowhere (1997),,,,,,,,
,,,,,,,First Monday in October (1981),,,,'Til There Was You (1997),,,,,,,,
,,,,,,,Night at the Museum (2006),,,,Tinker Tailor Soldier Spy (2011),,,,,,,,
,,,,,,,Top Hat (1935),,,,Forbidden Games (Jeux interdits) (1952),,,,,,,,
,,,,,,,That Darn Cat! (1965),,,,Like Water for Chocolate (Como agua para chocolate) (1992),,,,,,,,
,,,,,,,Night of the Comet (1984),,,,My Bodyguard (1980),,,,,,,,
,,,,,,,Motel Hell (1980),,,,Dead or Alive: Final (2002),,,,,,,,
,,,,,,,Waking Ned Devine (a.k.a. Waking Ned) (1998),,,,The Emperor's Club (2002),,,,,,,,
,,,,,,,Balls of Fury (2007),,,,25th Hour (2002),,,,,,,,
,,,,,,,Rick and Morty: State of Georgia Vs. Denver Fenton Allen (2016),,,,"Conformist, The (Conformista, Il) (1970)",,,,,,,,
,,,,,,,Screwed (2000),,,,"Royal Tenenbaums, The (2001)",,,,,,,,
,,,,,,,Saving Santa (2013),,,,Casanova (2005),,,,,,,,
,,,,,,,Lost in Translation (2003),,,,Evelyn (2002),,,,,,,,
,,,,,,,Rumble in the Bronx (Hont faan kui) (1995),,,,Faster Pussycat! Kill! Kill! (1965),,,,,,,,
,,,,,,,My Life in Pink (Ma vie en rose) (1997),,,,Faust (1926),,,,,,,,
,,,,,,,Only You (1994),,,,Melancholia (2011),,,,,,,,
,,,,,,,Mouse Hunt (1997),,,,Finding Forrester (2000),,,,,,,,
,,,,,,,Rat Race (2001),,,,To Live (Huozhe) (1994),,,,,,,,
,,,,,,,Teenage Mutant Ninja Turtles: Out of the Shadows (2016),,,,Lonesome Dove (1989),,,,,,,,
,,,,,,,"Rules of the Game, The (La règle du jeu) (1939)",,,,Baxter (1989),,,,,,,,
,,,,,,,Deuce Bigalow: European Gigolo (2005),,,,Buzzard (2015),,,,,,,,
,,,,,,,Eddie Murphy Raw (1987),,,,Generation War (2013),,,,,,,,
,,,,,,,Lesson Faust (1994),,,,"Good Girl, The (2002)",,,,,,,,
,,,,,,,Bad Taste (1987),,,,Blackrock (1997),,,,,,,,
,,,,,,,Celtic Pride (1996),,,,"Avventura, L' (Adventure, The) (1960)",,,,,,,,
,,,,,,,Beat the Devil (1953),,,,Stomp the Yard (2007),,,,,,,,
,,,,,,,"Kid, The (1921)",,,,Weekend (a.k.a. Le Week-end) (Week End) (1967),,,,,,,,
,,,,,,,Ed (1996),,,,"Purple Rose of Cairo, The (1985)",,,,,,,,
,,,,,,,"See No Evil, Hear No Evil (1989)",,,,Candy (2006),,,,,,,,
,,,,,,,"Odd Couple, The (1968)",,,,"Express, The (2008)",,,,,,,,
,,,,,,,Walking and Talking (1996),,,,Army of Shadows (L'armée des ombres) (1969),,,,,,,,
,,,,,,,Nothing to Declare (Rien à déclarer) (2010),,,,Inside Out (2015),,,,,,,,
,,,,,,,Belle époque (1992),,,,"Book of Eli, The (2010)",,,,,,,,
,,,,,,,Kung Fu Panda: Secrets of the Furious Five (2008),,,,Native Son (1986),,,,,,,,
,,,,,,,"Farmer's Daughter, The (1947)",,,,Valmont (1989),,,,,,,,
,,,,,,,"Band's Visit, The (Bikur Ha-Tizmoret) (2007)",,,,"Three Billboards Outside Ebbing, Missouri (2017)",,,,,,,,
,,,,,,,Please Give (2010),,,,Velvet Goldmine (1998),,,,,,,,
,,,,,,,Contact High (2009),,,,Harry Potter and the Deathly Hallows: Part 2 (2011),,,,,,,,
,,,,,,,Alvin and the Chipmunks (2007),,,,The Prime Gig (2000),,,,,,,,
,,,,,,,Imagine Me & You (2005),,,,Taking Sides (2001),,,,,,,,
,,,,,,,What We Do in the Shadows (2014),,,,"Iceman, The (2012)",,,,,,,,
,,,,,,,Your Friends and Neighbors (1998),,,,Regarding Henry (1991),,,,,,,,
,,,,,,,Chairman of the Board (1998),,,,Laurel Canyon (2002),,,,,,,,
,,,,,,,Garam Masala (2005),,,,Blue Is the Warmest Color (La vie d'Adèle) (2013),,,,,,,,
,,,,,,,Sabrina (1954),,,,"Passage to India, A (1984)",,,,,,,,
,,,,,,,"Letter to Three Wives, A (1949)",,,,Tilt (2011),,,,,,,,
,,,,,,,Stir Crazy (1980),,,,Alice (1990),,,,,,,,
,,,,,,,Stuck on You (2003),,,,Hurlyburly (1998),,,,,,,,
,,,,,,,"Man Who Came to Dinner, The (1942)",,,,Boy A (2007),,,,,,,,
,,,,,,,Valley Girl (1983),,,,The Square (2017),,,,,,,,
,,,,,,,I Love You Again (1940),,,,Love Is the Devil (1998),,,,,,,,
,,,,,,,Once a Thief (Zong heng si hai) (1991),,,,Indian Summer (a.k.a. Alive & Kicking) (1996),,,,,,,,
,,,,,,,Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu) (1973),,,,Harsh Times (2006),,,,,,,,
,,,,,,,Drag Me to Hell (2009),,,,Mr. 3000 (2004),,,,,,,,
,,,,,,,Waiting to Exhale (1995),,,,Table 19 (2017),,,,,,,,
,,,,,,,Sweet Liberty (1986),,,,"Beast of War, The (Beast, The) (1988)",,,,,,,,
,,,,,,,Teenage Mutant Ninja Turtles (2014),,,,Big Eyes (2014),,,,,,,,
,,,,,,,Angel-A (2005),,,,What a Girl Wants (2003),,,,,,,,
,,,,,,,Meet John Doe (1941),,,,Helen of Troy (2003),,,,,,,,
,,,,,,,Craig Ferguson: Tickle Fight (2017),,,,"Way We Were, The (1973)",,,,,,,,
,,,,,,,Woman on Top (2000),,,,Gone Girl (2014),,,,,,,,
,,,,,,,"Perfect Man, The (2005)",,,,Tsotsi (2005),,,,,,,,
,,,,,,,"Like Father, Like Son (1987)",,,,West Side Story (1961),,,,,,,,
,,,,,,,Beverly Hills Ninja (1997),,,,Airport '77 (1977),,,,,,,,
,,,,,,,Human Traffic (1999),,,,"Patrik Age 1.5 (Patrik 1,5) (2008)",,,,,,,,
,,,,,,,Herbie Rides Again (1974),,,,Rent (2005),,,,,,,,
,,,,,,,Sneakers (1992),,,,"Ghost Writer, The (2010)",,,,,,,,
,,,,,,,Two Weeks Notice (2002),,,,"Man from Elysian Fields, The (2001)",,,,,,,,
,,,,,,,Chris Rock: Bigger & Blacker (1999),,,,Cheaper by the Dozen (1950),,,,,,,,
,,,,,,,Volunteers (1985),,,,"Shootist, The (1976)",,,,,,,,
,,,,,,,Pink Flamingos (1972),,,,Deadfall (2012),,,,,,,,
,,,,,,,Bullets Over Broadway (1994),,,,Bug (2007),,,,,,,,
,,,,,,,Critters (1986),,,,Rosencrantz and Guildenstern Are Dead (1990),,,,,,,,
,,,,,,,Everything Must Go (2010),,,,Lantana (2001),,,,,,,,
,,,,,,,I Think I Love My Wife (2007),,,,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),,,,,,,,
,,,,,,,Better Than Chocolate (1999),,,,"Few Good Men, A (1992)",,,,,,,,
,,,,,,,Ratchet & Clank (2016),,,,In Her Shoes (2005),,,,,,,,
,,,,,,,But I'm a Cheerleader (1999),,,,Gotti (1996),,,,,,,,
,,,,,,,Bandidas (2006),,,,Romance (1999),,,,,,,,
,,,,,,,For Love of the Game (1999),,,,September (1987),,,,,,,,
,,,,,,,Malibu's Most Wanted (2003),,,,"TV Set, The (2006)",,,,,,,,
,,,,,,,Can't Hardly Wait (1998),,,,Coyote Ugly (2000),,,,,,,,
,,,,,,,Something New (2006),,,,Secretariat (2010),,,,,,,,
,,,,,,,Igby Goes Down (2002),,,,Hell or High Water (2016),,,,,,,,
,,,,,,,Monsieur Verdoux (1947),,,,2046 (2004),,,,,,,,
,,,,,,,The Malibu Bikini Shop (1986),,,,"Karate Kid, The (1984)",,,,,,,,
,,,,,,,Serving Sara (2002),,,,Robin Hood: Prince of Thieves (1991),,,,,,,,
,,,,,,,Proof (1991),,,,Eight Men Out (1988),,,,,,,,
,,,,,,,Crossing Delancey (1988),,,,Zoom (2006),,,,,,,,
,,,,,,,Stuart Saves His Family (1995),,,,"Man from Snowy River, The (1982)",,,,,,,,
,,,,,,,Friends with Kids (2011),,,,Taxi Driver (1976),,,,,,,,
,,,,,,,Red Flag (2012),,,,Elizabeth: The Golden Age (2007),,,,,,,,
,,,,,,,Güeros (2014),,,,Keeping the Faith (2000),,,,,,,,
,,,,,,,Time Bandits (1981),,,,Hamlet (1990),,,,,,,,
,,,,,,,Roberta (1935),,,,"Weather Man, The (2005)",,,,,,,,
,,,,,,,Penn & Teller Get Killed (1989),,,,Do the Right Thing (1989),,,,,,,,
,,,,,,,This Means War (2012),,,,George Washington (2000),,,,,,,,
,,,,,,,Monty Python's The Meaning of Life (1983),,,,Southland Tales (2006),,,,,,,,
,,,,,,,Madagascar 3: Europe's Most Wanted (2012),,,,Renaissance Man (1994),,,,,,,,
,,,,,,,Saint Ralph (2004),,,,Dragon Seed (1944),,,,,,,,
,,,,,,,Louis C.K.: Chewed Up (2008),,,,"Lady from Shanghai, The (1947)",,,,,,,,
,,,,,,,Town & Country (2001),,,,"Snapper, The (1993)",,,,,,,,
,,,,,,,"Decoy Bride, The (2011)",,,,"Thousand Acres, A (1997)",,,,,,,,
,,,,,,,After the Sunset (2004),,,,Jean de Florette (1986),,,,,,,,
,,,,,,,Mental (2012),,,,Byzantium (2012),,,,,,,,
,,,,,,,Captain Ron (1992),,,,Sweet and Lowdown (1999),,,,,,,,
,,,,,,,Destry Rides Again (1939),,,,Days of Heaven (1978),,,,,,,,
,,,,,,,Comme un chef (2012),,,,"Secret of Roan Inish, The (1994)",,,,,,,,
,,,,,,,Kin-Dza-Dza! (1986),,,,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",,,,,,,,
,,,,,,,Empire Records (1995),,,,Ride the High Country (1962),,,,,,,,
,,,,,,,"Circus, The (1928)",,,,Train of Life (Train de vie) (1998),,,,,,,,
,,,,,,,"Great Race, The (1965)",,,,Crash (1996),,,,,,,,
,,,,,,,Jackass Presents: Bad Grandpa (2013),,,,Submarine (2010),,,,,,,,
,,,,,,,Metropolitan (1990),,,,Troy (2004),,,,,,,,
,,,,,,,American Dreamz (2006),,,,Animal Factory (2000),,,,,,,,
,,,,,,,"Butcher Boy, The (1997)",,,,Da geht noch was! (2013),,,,,,,,
,,,,,,,Bedrooms & Hallways (1998),,,,"Object of Beauty, The (1991)",,,,,,,,
,,,,,,,"'burbs, The (1989)",,,,Control (2007),,,,,,,,
,,,,,,,"Big Kahuna, The (2000)",,,,Talent for the Game (1991),,,,,,,,
,,,,,,,Did You Hear About the Morgans? (2009),,,,"Edge of Heaven, The (Auf der anderen Seite) (2007)",,,,,,,,
,,,,,,,Jump Tomorrow (2001),,,,"Walker, The (2007)",,,,,,,,
,,,,,,,The Hairdresser (2010),,,,Fracture (2007),,,,,,,,
,,,,,,,Conversations with Other Women (2005),,,,"Woman Is a Woman, A (femme est une femme, Une) (1961)",,,,,,,,
,,,,,,,Formula 51 (2001),,,,Trainspotting (1996),,,,,,,,
,,,,,,,Win It All (2017),,,,"Cell, The (2000)",,,,,,,,
,,,,,,,French Twist (Gazon maudit) (1995),,,,"Passion of Anna, The (Passion, En) (1969)",,,,,,,,
,,,,,,,Hawks and Sparrows (Uccellacci e Uccellini) (1966),,,,Silver Bullet (Stephen King's Silver Bullet) (1985),,,,,,,,
,,,,,,,Female Trouble (1975),,,,"Damned, The (La Caduta degli dei) (1969)",,,,,,,,
,,,,,,,MacGruber (2010),,,,The Walk (2015),,,,,,,,
,,,,,,,All the Vermeers in New York (1990),,,,Pygmalion (1938),,,,,,,,
,,,,,,,Down to You (2000),,,,Late Marriage (Hatuna Meuheret) (2001),,,,,,,,
,,,,,,,Divided We Fall (Musíme si pomáhat) (2000),,,,Twin Peaks: Fire Walk with Me (1992),,,,,,,,
,,,,,,,Goodbye Lover (1999),,,,One Flew Over the Cuckoo's Nest (1975),,,,,,,,
,,,,,,,Deconstructing Harry (1997),,,,"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",,,,,,,,
,,,,,,,Friends & Lovers (1999),,,,Where the Money Is (2000),,,,,,,,
,,,,,,,Death Becomes Her (1992),,,,Sunshine (2007),,,,,,,,
,,,,,,,Yes Man (2008),,,,"Song of Bernadette, The (1943)",,,,,,,,
,,,,,,,Paul Blart: Mall Cop (2009),,,,"Turning Point, The (1977)",,,,,,,,
,,,,,,,Time of the Gypsies (Dom za vesanje) (1989),,,,Little Boxes (2017),,,,,,,,
,,,,,,,Ménage (Tenue de soirée) (1986),,,,Scrooge (1970),,,,,,,,
,,,,,,,Ski School (1991),,,,Dust (2001),,,,,,,,
,,,,,,,Clueless (1995),,,,Notorious (2009),,,,,,,,
,,,,,,,Frankenweenie (2012),,,,"Good Morning, Vietnam (1987)",,,,,,,,
,,,,,,,Walk of Shame (2014),,,,Knockin' on Heaven's Door (1997),,,,,,,,
,,,,,,,Kindergarten Cop (1990),,,,Band of Outsiders (Bande à part) (1964),,,,,,,,
,,,,,,,"Ruling Class, The (1972)",,,,Idlewild (2006),,,,,,,,
,,,,,,,"Trouble with Harry, The (1955)",,,,Fame (1980),,,,,,,,
,,,,,,,Easy Money (1983),,,,Jack the Bear (1993),,,,,,,,
,,,,,,,Twins (1988),,,,Birdman of Alcatraz (1962),,,,,,,,
,,,,,,,Christmas in Connecticut (1992),,,,Spiral (2007),,,,,,,,
,,,,,,,Air America (1990),,,,Patti Rocks (1988),,,,,,,,
,,,,,,,Hector and the Search for Happiness (2014),,,,"Soloist, The (2009)",,,,,,,,
,,,,,,,Waiting... (2005),,,,54 (1998),,,,,,,,
,,,,,,,"For a Good Time, Call... (2012)",,,,Miss Potter (2006),,,,,,,,
,,,,,,,"Honey, I Blew Up the Kid (1992)",,,,Hell in the Pacific (1968),,,,,,,,
,,,,,,,Golmaal (2006),,,,I Went Down (1997),,,,,,,,
,,,,,,,Rare Exports: A Christmas Tale (Rare Exports) (2010),,,,Victoria (2015),,,,,,,,
,,,,,,,The Lego Movie (2014),,,,"Ides of March, The (2011)",,,,,,,,
,,,,,,,All About the Benjamins (2002),,,,Moscow on the Hudson (1984),,,,,,,,
,,,,,,,Heartbreakers (2001),,,,"Man Who Shot Liberty Valance, The (1962)",,,,,,,,
,,,,,,,Tremors (1990),,,,Neds (2010),,,,,,,,
,,,,,,,D.E.B.S. (2004),,,,Over the Top (1987),,,,,,,,
,,,,,,,Wet Hot American Summer (2001),,,,Australia (2008),,,,,,,,
,,,,,,,To Grandmother's House We Go (1992),,,,"Outsiders, The (1983)",,,,,,,,
,,,,,,,Jim Jefferies: I Swear to God (2009),,,,Blackhat (2015),,,,,,,,
,,,,,,,"Big Chill, The (1983)",,,,Paradise Now (2005),,,,,,,,
,,,,,,,Happy Feet (2006),,,,"Ace in the Hole (Big Carnival, The) (1951)",,,,,,,,
,,,,,,,Tremors 3: Back to Perfection (2001),,,,"Whistleblower, The (2010)",,,,,,,,
,,,,,,,Adaptation (2002),,,,God's Not Dead (2014),,,,,,,,
,,,,,,,Roger Dodger (2002),,,,Baran (2001),,,,,,,,
,,,,,,,Welcome to the Sticks (Bienvenue chez les Ch'tis) (2008),,,,"Captive, The (2014)",,,,,,,,
